id,title,author,price,isbn,stock
1,The Great Gatsby,F. Scott Fitzgerald,10.99,1234567890,5
2,To Kill a Mockingbird,Harper Lee,8.99,2345678901,3
3,1984,George Orwell,9.99,3456789012,1
4,The Catcher in the Rye,J.D. Salinger,7.99,4567890123,2
5,The Hobbit,J.R.R. Tolkien,12.99,5678901234,4
6,Harry Potter and the Sorcerer's Stone,J.K. Rowling,15.99,6789012345,10
7,Pride and Prejudice,Jane Austen,6.99,7890123456,1
8,The Lord of the Rings,J.R.R. Tolkien,20.99,8901234567,6
9,Animal Farm,George Orwell,5.99,9012345678,8
10,The Chronicles of Narnia,C.S. Lewis,14.99,0123456789,1
